,Provinsi,Buah,Produksi,Tahun
416,MALUKU UTARA,Nenas,231.0,2015
417,PAPUA BARAT,Nenas,50.0,2015
418,PAPUA,Nenas,84.0,2015
419,INDONESIA,Nenas,1729603.0,2015
420,ACEH,Pepaya,11189.0,2015
421,SUMATERA UTARA,Pepaya,26305.0,2015
422,SUMATERA BARAT,Pepaya,14950.0,2015
423,RIAU,Pepaya,7038.0,2015
424,JAMBI,Pepaya,21389.0,2015
425,SUMATERA SELATAN,Pepaya,17306.0,2015
426,BENGKULU,Pepaya,6116.0,2015
427,LAMPUNG,Pepaya,70542.0,2015
428,KEP. BANGKA BELITUNG,Pepaya,1843.0,2015
429,KEP. RIAU,Pepaya,2076.0,2015
430,DKI JAKARTA,Pepaya,503.0,2015
431,JAWA BARAT,Pepaya,86485.0,2015
432,JAWA TENGAH,Pepaya,103744.0,2015
433,DI YOGYAKARTA,Pepaya,12543.0,2015
434,JAWA TIMUR,Pepaya,266015.0,2015
435,BANTEN,Pepaya,9824.0,2015
436,BALI,Pepaya,8764.0,2015
437,NUSA TENGGARA BARAT,Pepaya,11311.0,2015
438,NUSA TENGGARA TIMUR,Pepaya,66686.0,2015
439,KALIMANTAN BARAT,Pepaya,9592.0,2015
440,KALIMANTAN TENGAH,Pepaya,4072.0,2015
441,KALIMANTAN SELATAN,Pepaya,4162.0,2015
442,KALIMANTAN TIMUR,Pepaya,9156.0,2015
443,KALIMANTAN UTARA,Pepaya,2711.0,2015
444,SULAWESI UTARA,Pepaya,5484.0,2015
445,SULAWESI TENGAH,Pepaya,4652.0,2015
446,SULAWESI SELATAN,Pepaya,42503.0,2015
447,SULAWESI TENGGARA,Pepaya,7781.0,2015
448,GORONTALO,Pepaya,1247.0,2015
449,SULAWESI BARAT,Pepaya,1423.0,2015
450,MALUKU,Pepaya,11663.0,2015
451,MALUKU UTARA,Pepaya,1434.0,2015
452,PAPUA BARAT,Pepaya,223.0,2015
453,PAPUA,Pepaya,800.0,2015
454,INDONESIA,Pepaya,851532.0,2015
455,ACEH,Pisang,61046.0,2015
456,SUMATERA UTARA,Pisang,139542.0,2015
457,SUMATERA BARAT,Pisang,136952.0,2015
458,RIAU,Pisang,21315.0,2015
459,JAMBI,Pisang,32269.0,2015
460,SUMATERA SELATAN,Pisang,160186.0,2015
461,BENGKULU,Pisang,23989.0,2015
462,LAMPUNG,Pisang,1937349.0,2015
463,KEP. BANGKA BELITUNG,Pisang,3857.0,2015
464,KEP. RIAU,Pisang,4488.0,2015
465,DKI JAKARTA,Pisang,2062.0,2015
466,JAWA BARAT,Pisang,1306288.0,2015
467,JAWA TENGAH,Pisang,581782.0,2015
468,DI YOGYAKARTA,Pisang,51219.0,2015
469,JAWA TIMUR,Pisang,1629437.0,2015
470,BANTEN,Pisang,137811.0,2015
471,BALI,Pisang,189441.0,2015
472,NUSA TENGGARA BARAT,Pisang,73219.0,2015
